"","ResponseID","Finished","MTurkCode","Q_TotalDuration","Age","NativeLang","BeganEnglish","SpeechProb","NP","Rating","ArbCont","Coll","Meas","Quant","FullCont","Type","ItemNr","OneThing","MoreThings"
"164","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"165","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"167","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.heap.of.blankets","b. More than one thing",0,1,0,0,0,"Coll",7,0,1
"168","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"169","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"170","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.matchbox.of.needles","b. More than one thing",0,0,0,0,1,"FullCont",10,0,1
"171","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
"172","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.bottle.of.pills","a. One thing",0,0,0,0,1,"FullCont",12,1,0
"173","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"174","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"176","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.crowd.of.onlookers","a. One thing",0,1,0,0,0,"Coll",16,1,0
"180","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"181","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"182","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"183","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"184","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"185","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.crate.of.tangerines","a. One thing",0,0,0,0,1,"FullCont",25,1,0
"186","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"187","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.set.of.dvds","b. More than one thing",0,1,0,0,0,"Coll",27,0,1
"188","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"190","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","more.chips","b. More than one thing",0,0,0,1,0,"Quant",30,0,1
"191","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.bin.of.baseballs","b. More than one thing",0,0,0,1,0,"FullCont",31,0,1
"192","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"193","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.troop.of.preschoolers","b. More than one thing",0,1,0,0,0,"Coll",33,0,1
"194","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.tube.of.balls","a. One thing",0,0,0,1,0,"FullCont",34,1,0
